Fecha: 2025-12-09
Hora: 14:13:40
"Canales activos: CH1=True, CH2=False, CH3=False"
Operación: Ninguna
Trigger: Desactivado
Tiempo (s),CH1 (V),CH2 (V),CH3 (V),Operación (V)
1.551308,0.2639,nan,nan,nan
1.554116,0.1955,nan,nan,nan
1.55692,0.2444,nan,nan,nan
1.559724,0.3763,nan,nan,nan
1.562528,0.4839,nan,nan,nan
1.565332,0.5083,nan,nan,nan
1.56814,0.4106,nan,nan,nan
1.570944,0.2786,nan,nan,nan
1.573748,0.1955,nan,nan,nan
1.576556,0.2346,nan,nan,nan
1.57936,0.3519,nan,nan,nan
1.582168,0.479,nan,nan,nan
1.584968,0.5083,nan,nan,nan
1.587776,0.435,nan,nan,nan
1.59058,0.2933,nan,nan,nan
1.593384,0.2053,nan,nan,nan
1.596188,0.2248,nan,nan,nan
1.598996,0.3372,nan,nan,nan
1.6018,0.4643,nan,nan,nan
1.604604,0.5132,nan,nan,nan
1.607408,0.4448,nan,nan,nan
1.610212,0.3079,nan,nan,nan
1.613024,0.2053,nan,nan,nan
1.615824,0.2151,nan,nan,nan
1.618628,0.3177,nan,nan,nan
1.621436,0.4545,nan,nan,nan
1.62424,0.5132,nan,nan,nan
1.627044,0.4594,nan,nan,nan
1.629848,0.3275,nan,nan,nan
1.632656,0.2199,nan,nan,nan
1.63546,0.2053,nan,nan,nan
1.638264,0.303,nan,nan,nan
1.641068,0.4399,nan,nan,nan
1.643872,0.5132,nan,nan,nan
1.646684,0.4692,nan,nan,nan
1.649484,0.347,nan,nan,nan
1.652288,0.2248,nan,nan,nan
1.655096,0.2053,nan,nan,nan
1.6579,0.2884,nan,nan,nan
1.660704,0.4252,nan,nan,nan
1.663508,0.5132,nan,nan,nan
1.66632,0.4839,nan,nan,nan
1.66912,0.3617,nan,nan,nan
1.671924,0.2395,nan,nan,nan
1.674728,0.2004,nan,nan,nan
1.677532,0.2737,nan,nan,nan
1.68034,0.4057,nan,nan,nan
1.683144,0.5034,nan,nan,nan
1.685948,0.4888,nan,nan,nan
1.688752,0.3763,nan,nan,nan
1.69156,0.2493,nan,nan,nan
1.694364,0.1955,nan,nan,nan
1.697168,0.2542,nan,nan,nan
1.699976,0.391,nan,nan,nan
1.70278,0.4936,nan,nan,nan
1.705584,0.4985,nan,nan,nan
1.708388,0.3959,nan,nan,nan
1.7112,0.2639,nan,nan,nan
1.714,0.1955,nan,nan,nan
1.716804,0.2444,nan,nan,nan
1.719608,0.3715,nan,nan,nan
1.722412,0.4839,nan,nan,nan
1.72522,0.5034,nan,nan,nan
1.728024,0.4106,nan,nan,nan
1.730828,0.2786,nan,nan,nan
1.733636,0.2004,nan,nan,nan
1.73644,0.2346,nan,nan,nan
1.739244,0.3568,nan,nan,nan
1.742052,0.479,nan,nan,nan
1.744852,0.5083,nan,nan,nan
1.74766,0.4301,nan,nan,nan
1.750464,0.2933,nan,nan,nan
1.753268,0.2053,nan,nan,nan
1.756076,0.2199,nan,nan,nan
1.75888,0.3421,nan,nan,nan
1.761684,0.4692,nan,nan,nan
1.764488,0.5132,nan,nan,nan
1.767296,0.4399,nan,nan,nan
1.7701,0.3079,nan,nan,nan
1.772904,0.2102,nan,nan,nan
1.775716,0.2151,nan,nan,nan
1.778512,0.3226,nan,nan,nan
1.78132,0.4545,nan,nan,nan
1.784124,0.5132,nan,nan,nan
1.786928,0.4545,nan,nan,nan
1.789732,0.3275,nan,nan,nan
1.79254,0.2151,nan,nan,nan
1.795352,0.2102,nan,nan,nan
1.798148,0.3079,nan,nan,nan
1.800956,0.435,nan,nan,nan
1.80376,0.5083,nan,nan,nan
1.806564,0.4692,nan,nan,nan
1.809368,0.347,nan,nan,nan
1.812176,0.2248,nan,nan,nan
